順位,ID,ベンダー,CPU,価格,性能目安,コスパ値,URL
1,2612,intel,Intel  Core Ultra 5 245KF BOX,32780,8657,0.264094,https://www.dospara.co.jp/SBR1887/IC512739.html
2,2562,intel,Intel  Core Ultra 7 265KF BOX,45980,11744,0.255415,https://www.dospara.co.jp/SBR1886/IC512737.html
3,2607,intel,Intel  Core Ultra 5 225F BOX,24850,6235,0.250905,https://www.dospara.co.jp/SBR1887/IC518589.html
4,2605,intel,Intel  Core Ultra 5 245K BOX,34980,8657,0.247484,https://www.dospara.co.jp/SBR1887/IC512738.html
5,2560,intel,Intel  Core Ultra 7 265K BOX,47780,11744,0.245793,https://www.dospara.co.jp/SBR1886/IC512736.html
6,2598,intel,Intel  Core Ultra 5 225 BOX,28370,6091,0.214699,https://www.dospara.co.jp/SBR1887/IC518588.html
7,2606,intel,Intel  Core Ultra 7 265F BOX,52380,9979,0.190512,https://www.dospara.co.jp/SBR1886/IC518586.html
8,2609,intel,Intel  Core Ultra 5 235 BOX,43980,8004,0.181992,https://www.dospara.co.jp/SBR1887/IC518587.html
9,2604,intel,Intel  Core Ultra 7 265 BOX,56860,9979,0.175501,https://www.dospara.co.jp/SBR1886/IC518585.html
10,2601,intel,Intel  Core Ultra 9 285K BOX,96999,13474,0.138909,https://www.dospara.co.jp/SBR1885/IC512735.html
