順位,CPU,価格,性能,コスパ
1,Intel Core Ultra 5 245KF BOX,32780,8657,0.26410
2,Intel Core Ultra 7 265KF BOX,45980,11744,0.25540
3,Intel Core Ultra 5 225F BOX,24850,6235,0.25090
4,Intel Core Ultra 5 245K BOX,34980,8657,0.24750
5,Intel Core Ultra 7 265K BOX,47780,11744,0.24580
6,Intel Core Ultra 5 225 BOX,28370,6091,0.21470
7,Intel Core Ultra 7 265F BOX,52380,9979,0.19050
8,Intel Core Ultra 5 235 BOX,43980,8004,0.18200
9,Intel Core Ultra 7 265 BOX,56860,9979,0.17550
10,Intel Core i5 12400F BOX,23980,3918,0.16340
11,Intel Core i5 12400 BOX,25980,3918,0.15080
12,Intel Core Ultra 9 285K BOX,96999,13474,0.13890
