ID,パーツタイプ,名称,価格,在庫状態,URL
2557,cpu,AMD  Ryzen 5 3400G BOX,"¥10,500",unknown,https://www.dospara.co.jp/SBR1883/IC555726.html
2611,cpu,Intel  Celeron G6900 BOX,"¥11,380",unknown,https://www.dospara.co.jp/SBR1484/IC477507.html
2597,cpu,Intel  Core i3 12100F BOX,"¥14,580",unknown,https://www.dospara.co.jp/SBR1482/IC477505.html
2610,cpu,Intel  Core i3 14100F BOX,"¥15,480",unknown,https://www.dospara.co.jp/SBR1482/IC497970.html
2594,cpu,AMD  Ryzen 5 5500 BOX,"¥15,800",unknown,https://www.dospara.co.jp/SBR1883/IC479654.html
2613,cpu,AMD  Ryzen 3 5300G BOX,"¥18,800",unknown,https://www.dospara.co.jp/SBR1884/IC515308.html
2602,cpu,AMD  Ryzen 5 5500GT BOX,"¥19,760",unknown,https://www.dospara.co.jp/SBR1883/IC500260.html
2592,cpu,AMD  Ryzen 5 5600 BOX,"¥21,180",unknown,https://www.dospara.co.jp/SBR1883/IC479653.html
2596,cpu,Intel  Core i3 14100 BOX,"¥21,970",unknown,https://www.dospara.co.jp/SBR1482/IC497969.html
2595,cpu,AMD  Ryzen 5 5600GT BOX,"¥22,120",unknown,https://www.dospara.co.jp/SBR1883/IC500261.html
2614,cpu,AMD  Ryzen 5 8500G BOX,"¥22,350",unknown,https://www.dospara.co.jp/SBR1883/IC500262.html
2608,cpu,Intel  Core i3 12100 BOX,"¥22,980",unknown,https://www.dospara.co.jp/SBR1482/IC477504.html
2615,cpu,AMD  Ryzen 5 7500F BOX,"¥23,800",unknown,https://www.dospara.co.jp/SBR1883/IC583172.html
2600,cpu,Intel  Core i5 12400F BOX,"¥23,980",unknown,https://www.dospara.co.jp/SBR1481/IC477503.html
2607,cpu,Intel  Core Ultra 5 225F BOX,"¥24,850",unknown,https://www.dospara.co.jp/SBR1887/IC518589.html
2561,cpu,Intel  Core i5 12400 BOX,"¥25,980",unknown,https://www.dospara.co.jp/SBR1481/IC477502.html
2558,cpu,Intel  Core i5 14400F BOX,"¥26,980",unknown,https://www.dospara.co.jp/SBR1481/IC497968.html
2616,cpu,AMD  Ryzen 5 8600G BOX,"¥27,540",unknown,https://www.dospara.co.jp/SBR1883/IC500263.html
2598,cpu,Intel  Core Ultra 5 225 BOX,"¥28,370",unknown,https://www.dospara.co.jp/SBR1887/IC518588.html
2556,cpu,AMD  Ryzen 7 5700X BOX,"¥29,800",unknown,https://www.dospara.co.jp/SBR1882/IC479652.html
2559,cpu,Intel  Core i5 14400 BOX,"¥29,980",unknown,https://www.dospara.co.jp/SBR1481/IC497967.html
2612,cpu,Intel  Core Ultra 5 245KF BOX,"¥32,780",unknown,https://www.dospara.co.jp/SBR1887/IC512739.html
2617,cpu,AMD  Ryzen 5 9600 BOX,"¥33,336",unknown,https://www.dospara.co.jp/SBR1883/IC522584.html
2618,cpu,AMD  Ryzen 5 9600X BOX,"¥34,390",unknown,https://www.dospara.co.jp/SBR1883/IC509914.html
2605,cpu,Intel  Core Ultra 5 245K BOX,"¥34,980",unknown,https://www.dospara.co.jp/SBR1887/IC512738.html
2619,cpu,AMD  Ryzen 5 9500F BOX,"¥35,800",unknown,https://www.dospara.co.jp/SBR1883/IC580319.html
2555,cpu,AMD  Ryzen 7 9700X BOX,"¥38,800",unknown,https://www.dospara.co.jp/SBR1882/IC509913.html
2620,cpu,AMD  Ryzen 7 8700G BOX,"¥39,440",unknown,https://www.dospara.co.jp/SBR1882/IC555727.html
2621,cpu,AMD  Ryzen 7 7700 BOX,"¥39,800",unknown,https://www.dospara.co.jp/SBR1882/IC583837.html
2609,cpu,Intel  Core Ultra 5 235 BOX,"¥43,980",unknown,https://www.dospara.co.jp/SBR1887/IC518587.html
2562,cpu,Intel  Core Ultra 7 265KF BOX,"¥45,980",unknown,https://www.dospara.co.jp/SBR1886/IC512737.html
2560,cpu,Intel  Core Ultra 7 265K BOX,"¥47,780",unknown,https://www.dospara.co.jp/SBR1886/IC512736.html
2547,cpu,AMD  Ryzen 7 7800X3D BOX,"¥48,000",unknown,https://www.dospara.co.jp/SBR1882/IC488570.html
2606,cpu,Intel  Core Ultra 7 265F BOX,"¥52,380",unknown,https://www.dospara.co.jp/SBR1886/IC518586.html
2604,cpu,Intel  Core Ultra 7 265 BOX,"¥56,860",unknown,https://www.dospara.co.jp/SBR1886/IC518585.html
2593,cpu,AMD  Ryzen 9 9900X BOX,"¥60,980",unknown,https://www.dospara.co.jp/SBR1881/IC509912.html
2554,cpu,AMD  Ryzen 7 9800X3D BOX,"¥62,180",unknown,https://www.dospara.co.jp/SBR1882/IC516296.html
2599,cpu,Intel  Core i9 14900KF BOX,"¥80,980",unknown,https://www.dospara.co.jp/SBR1329/IC494972.html
2603,cpu,AMD  Ryzen 7 9850X3D BOX,"¥87,980",unknown,https://www.dospara.co.jp/SBR1882/IC593415.html
3071,cpu,AMD  Ryzen 9 9900X3D BOX,"¥89,980",unknown,https://www.dospara.co.jp/SBR1881/IC522583.html
3072,cpu,AMD  Ryzen 9 9950X BOX,"¥92,980",unknown,https://www.dospara.co.jp/SBR1881/IC509911.html
2601,cpu,Intel  Core Ultra 9 285K BOX,"¥96,999",unknown,https://www.dospara.co.jp/SBR1885/IC512735.html
2591,cpu,AMD  Ryzen 9 9950X3D BOX,"¥112,200",unknown,https://www.dospara.co.jp/SBR1881/IC522582.html
