ID,パーツタイプ,名称,価格,在庫状態,URL
2642,cpu_cooler,AINEX  CC-01 (薄型CPUクーラー),"¥1,400",unknown,https://www.dospara.co.jp/SBR282/IC438865.html
2638,cpu_cooler,AINEX  CC-09 (LGA1700用 静音CPUクーラー),"¥1,670",unknown,https://www.dospara.co.jp/SBR1969/IC583318.html
2640,cpu_cooler,AINEX  NI01LP-9225SP (LGA115x/1200用プッシュピンCPUクーラー),"¥1,770",unknown,https://www.dospara.co.jp/SBR1969/IC556395.html
2643,cpu_cooler,AINEX  PC-Z05C-SRB (ヒートパイプ5本搭載 Intel&AMD用 サイドフローCPUクーラー),"¥3,540",unknown,https://www.dospara.co.jp/SBR1968/IC583316.html
2589,cpu_cooler,Thermaltake  UX150-L ARGB Air cooler Black CL-P147-CA13SW-A,"¥3,780",unknown,https://www.dospara.co.jp/SBR1969/IC618590.html
2622,cpu_cooler,ID-COOLING  FROZN-A620-PRO-SE (120mmファン2基搭載 デュアルタワーCPUクーラー ブラック),"¥4,220",unknown,https://www.dospara.co.jp/SBR1968/IC528916.html
2623,cpu_cooler,noctua  NH-L9a-AM4,"¥6,280",unknown,https://www.dospara.co.jp/SBR1969/IC459294.html
2631,cpu_cooler,noctua  NH-L9I-17XX,"¥6,470",unknown,https://www.dospara.co.jp/SBR1969/IC497524.html
2629,cpu_cooler,noctua  NH-L9A-AM5,"¥6,780",unknown,https://www.dospara.co.jp/SBR1969/IC497522.html
2641,cpu_cooler,noctua  NH-L9I-17XX chromax.black (NH-L9I-17XX-CH-BK),"¥7,580",unknown,https://www.dospara.co.jp/SBR1969/IC497517.html
2545,cpu_cooler,noctua  NH-L9a-AM5 chromax.black (NH-L9A-AM5-CH-BK),"¥7,980",unknown,https://www.dospara.co.jp/SBR1969/IC497523.html
2633,cpu_cooler,ID-COOLING  FX360-PRO (3連ファン AIO 水冷CPUクーラー ブラック),"¥9,980",unknown,https://www.dospara.co.jp/SBR321/IC528918.html
2635,cpu_cooler,玄人志向  KURO-AIOWC360/V2,"¥11,780",unknown,https://www.dospara.co.jp/SBR321/IC522527.html
2646,cpu_cooler,玄人志向  KURO-AIOWC240L/V2,"¥11,880",unknown,https://www.dospara.co.jp/SBR321/IC522526.html
2647,cpu_cooler,玄人志向  KURO-AIOWC240L/V2/WHITE,"¥12,380",unknown,https://www.dospara.co.jp/SBR321/IC575597.html
2590,cpu_cooler,ASUS  PROART PF120 FAN PWM BLACK 3IN1 (120mm ブラック 3個パック),"¥14,180",unknown,https://www.dospara.co.jp/SBR738/IC619667.html
2588,cpu_cooler,ASUS  PROART PF120 FAN PWM WHITE 3IN1 (120mm ホワイト 3個パック),"¥14,180",unknown,https://www.dospara.co.jp/SBR738/IC619668.html
2630,cpu_cooler,noctua  NH-D15,"¥14,280",unknown,https://www.dospara.co.jp/SBR1968/IC497521.html
2625,cpu_cooler,noctua  NH-D15 chromax.black (NH-D15-CH-BK),"¥14,980",unknown,https://www.dospara.co.jp/SBR1968/IC462907.html
2626,cpu_cooler,noctua  NH-U12A,"¥14,980",unknown,https://www.dospara.co.jp/SBR1968/IC459297.html
2645,cpu_cooler,Lian-Li  Galahad AIO UNI FAN SL Edition (Galahad AIO 240 BK(SLFAN) ブラック),"¥15,980",unknown,https://www.dospara.co.jp/SBR321/IC478230.html
2627,cpu_cooler,noctua  NH-U12A chromax.black (NH-U12A-CH-BK),"¥15,980",unknown,https://www.dospara.co.jp/SBR1968/IC497518.html
2644,cpu_cooler,玄人志向  KURO-AIOWC360L/V2/WHITE,"¥15,980",unknown,https://www.dospara.co.jp/SBR321/IC575598.html
2636,cpu_cooler,TRYX  TURRIS T620 CPU Air Cooler Black H-T620N-DM2M-G0K (ブラック),"¥19,990",unknown,https://www.dospara.co.jp/SBR1968/IC615038.html
2632,cpu_cooler,TRYX  TURRIS T620 CPU Air Cooler White H-T620N-DM2M-G0W (ホワイト),"¥19,990",unknown,https://www.dospara.co.jp/SBR1968/IC615039.html
2637,cpu_cooler,noctua  NH-D15-G2-HBC,"¥23,180",unknown,https://www.dospara.co.jp/SBR1968/IC574777.html
2628,cpu_cooler,noctua  NH-D15-G2-LBC,"¥23,180",unknown,https://www.dospara.co.jp/SBR1968/IC574778.html
2634,cpu_cooler,noctua  NH-D15-G2,"¥23,190",unknown,https://www.dospara.co.jp/SBR1968/IC574776.html
2624,cpu_cooler,noctua  NH-D15 G2 chromax.black (NH-D15-G2-CH-BK),"¥25,980",unknown,https://www.dospara.co.jp/SBR1968/IC585797.html
2639,cpu_cooler,EKWB  EK-Nucleus AIO CR360 Lux D-RGB - White (ホワイト),"¥32,980",unknown,https://www.dospara.co.jp/SBR321/IC492667.html
