ID,パーツタイプ,名称,価格,在庫状態,URL
2687,gpu,玄人志向  RD-RX6400-E4GB/LP (Radeon RX 6400 4GB),"¥23,498",unknown,https://www.dospara.co.jp/SBR1493/IC479882.html
2658,gpu,Palit  NE63050018JE-1072F (GeForce RTX 3050 StormX 6GB),"¥29,800",unknown,https://www.dospara.co.jp/SBR1487/IC584001.html
2660,gpu,MSI  GeForce RTX 3050 VENTUS 2X E 6G OC (GeForce RTX 3050 6GB),"¥31,800",unknown,https://www.dospara.co.jp/SBR1487/IC549705.html
2680,gpu,玄人志向  AR-B570D6-E10GB/DF (Intel Arc B570 10G),"¥34,800",unknown,https://www.dospara.co.jp/SBR1750/IC578056.html
2662,gpu,MSI  GeForce RTX 3050 LP E 6G OC (GeForce RTX 3050 6GB),"¥36,800",unknown,https://www.dospara.co.jp/SBR1487/IC599460.html
2697,gpu,SPARKLE  SB570GW-10GOC (Intel Arc B570 10G),"¥36,800",unknown,https://www.dospara.co.jp/SBR1750/IC578061.html
2683,gpu,ASRock  Radeon RX 7600 Challenger 8GB OC (RX7600 CL 8GO),"¥45,800",unknown,https://www.dospara.co.jp/SBR1770/IC489523.html
2678,gpu,GIGABYTE  GV-N5050GAMING OC-8GD (GeForce RTX 5050 8GB),"¥47,800",unknown,https://www.dospara.co.jp/SBR1892/IC542086.html
2681,gpu,GIGABYTE  GV-N5050OC-8GL (GeForce RTX 5050 8GB),"¥47,800",unknown,https://www.dospara.co.jp/SBR1892/IC542087.html
2689,gpu,Palit  NE65050019P1-GB2070D (GeForce RTX 5050 Dual 8GB),"¥47,800",unknown,https://www.dospara.co.jp/SBR1892/IC529478.html
2679,gpu,Palit  NE65050019P1-GB2070F (GeForce RTX 5050 StormX 8GB),"¥47,800",unknown,https://www.dospara.co.jp/SBR1892/IC539274.html
2673,gpu,GIGABYTE  GV-N5050WF2OC-8GD (GeForce RTX 5050 8GB),"¥49,680",unknown,https://www.dospara.co.jp/SBR1892/IC542088.html
2706,gpu,MSI  GeForce RTX 5050 8G VENTUS 2X OC (GeForce RTX 5050 8GB),"¥54,800",unknown,https://www.dospara.co.jp/SBR1892/IC541470.html
2552,gpu,Palit  NE75060019P1-GB2063D (GeForce RTX 5060 Dual 8GB),"¥55,980",unknown,https://www.dospara.co.jp/SBR1892/IC525590.html
2651,gpu,Palit  NE75060U19P1-GB2063M (GeForce RTX 5060 WHITE OC 8GB),"¥55,980",unknown,https://www.dospara.co.jp/SBR1892/IC539273.html
2648,gpu,ASRock  AMD Radeon RX 9060 XT Challenger 16GB (RX9060XT CL 16G) ドスパラ限定モデル,"¥60,800",unknown,https://www.dospara.co.jp/SBR1891/IC568028.html
2688,gpu,MSI  GeForce RTX 5060 8G VENTUS 2X OC (GeForce RTX 5060 8GB),"¥60,800",unknown,https://www.dospara.co.jp/SBR1892/IC527643.html
2663,gpu,ASUS  DUAL-RX9060XT-16G (Radeon RX 9060 XT 16GB),"¥61,800",unknown,https://www.dospara.co.jp/SBR1891/IC558789.html
2671,gpu,MSI  GeForce RTX 5060 8G VENTUS 2X OC WHITE (GeForce RTX 5060 8GB),"¥62,800",unknown,https://www.dospara.co.jp/SBR1892/IC528602.html
2549,gpu,Palit  NE7506T019P1-GB2062D (GeForce RTX 5060 Ti Dual 8GB),"¥62,980",unknown,https://www.dospara.co.jp/SBR1892/IC523107.html
2667,gpu,GIGABYTE  GV-R9060XTGAMING OC-16GD (Radeon RX 9060 XT 16GB),"¥63,800",unknown,https://www.dospara.co.jp/SBR1891/IC528537.html
2659,gpu,Palit  NE7506TU19P1-GB2062M (GeForce RTX 5060 Ti White OC 8GB),"¥63,800",unknown,https://www.dospara.co.jp/SBR1892/IC543911.html
2661,gpu,ASRock  Radeon RX 9060 XT Steel Legend 16GB OC (RX9060XT SL 16GO),"¥69,800",unknown,https://www.dospara.co.jp/SBR1891/IC527174.html
2710,gpu,玄人志向  GG-RTX5060Ti-E8GB/OC/DF/V2 (GeForce RTX 5060 Ti 8GB),"¥78,001",unknown,https://www.dospara.co.jp/SBR1892/IC602945.html
2707,gpu,ASUS  TUF-RTX5060-O8G-GAMING (GeForce RTX 5060 8GB),"¥78,700",unknown,https://www.dospara.co.jp/SBR1892/IC527629.html
2708,gpu,MSI  GeForce RTX 5060 Ti 8G VENTUS 2X OC PLUS (GeForce RTX 5060 Ti 8GB),"¥79,800",unknown,https://www.dospara.co.jp/SBR1892/IC526209.html
2690,gpu,MSI  GeForce RTX 5060 Ti 8G VENTUS 2X OC WHITE PLUS (GeForce RTX 5060 Ti 8GB),"¥79,800",unknown,https://www.dospara.co.jp/SBR1892/IC599458.html
2709,gpu,玄人志向  GK-RTX5060Ti-E8GB/WHITE/DF/V2 (GeForce RTX 5060 Ti 8GB),"¥80,316",unknown,https://www.dospara.co.jp/SBR1892/IC602946.html
2704,gpu,ASUS  PRIME-RTX5060TI-O8G (GeForce RTX 5060 Ti 8GB),"¥88,800",unknown,https://www.dospara.co.jp/SBR1892/IC526337.html
2550,gpu,Palit  NE7506T019T1-GB2061S (GeForce RTX 5060 Ti Infinity 3 16GB),"¥89,800",unknown,https://www.dospara.co.jp/SBR1892/IC523108.html
2652,gpu,MSI  GeForce RTX 5060 Ti 16G VENTUS 2X OC PLUS (GeForce RTX 5060 Ti 16GB),"¥94,800",unknown,https://www.dospara.co.jp/SBR1892/IC525607.html
2666,gpu,Palit  NE7506TS19T1-GB2061S (GeForce RTX 5060 Ti Infinity 3 OC 16GB),"¥94,800",unknown,https://www.dospara.co.jp/SBR1892/IC580817.html
2675,gpu,Palit  NE7506TU19T1-GB2061M (GeForce RTX 5060 Ti White OC 16GB),"¥94,800",unknown,https://www.dospara.co.jp/SBR1892/IC548694.html
2650,gpu,ASRock  AMD Radeon RX 9070 XT Challenger 16GB (RX9070XT CL 16G),"¥97,800",unknown,https://www.dospara.co.jp/SBR1891/IC566229.html
2694,gpu,玄人志向  GG-RTX5060Ti-E16GB/Lineage II (GeForce RTX 5060 Ti 16GB),"¥99,480",unknown,https://www.dospara.co.jp/SBR1892/IC605711.html
2653,gpu,ASRock  Radeon RX 9070 XT Steel Legend Dark 16GB (RX9070XT SLD 16G),"¥99,800",unknown,https://www.dospara.co.jp/SBR1891/IC522746.html
2672,gpu,玄人志向  RD-RX9070XT-E16GB/TP (Radeon RX 9070 XT 16GB),"¥99,800",unknown,https://www.dospara.co.jp/SBR1891/IC522638.html
2553,gpu,Palit  NE75070019K9-GB2050S (GeForce RTX 5070 Infinity 3 12GB),"¥99,980",unknown,https://www.dospara.co.jp/SBR1892/IC522671.html
2654,gpu,ASRock  Radeon RX 9070 XT Steel Legend 16GB (RX9070XT SL 16G),"¥102,780",unknown,https://www.dospara.co.jp/SBR1891/IC518907.html
2677,gpu,MSI  GeForce RTX 5070 12G VENTUS 2X OC WHITE (GeForce RTX 5070 12GB),"¥108,000",unknown,https://www.dospara.co.jp/SBR1892/IC522759.html
2670,gpu,ASUS  DUAL-RTX5070-O12G (GeForce RTX 5070 12GB),"¥109,800",unknown,https://www.dospara.co.jp/SBR1892/IC528415.html
2669,gpu,ASUS  PRIME-RX9070XT-O16G (Radeon RX 9070 XT 16GB),"¥109,800",unknown,https://www.dospara.co.jp/SBR1891/IC518977.html
2696,gpu,Palit  NE75070S19K9-GB2050S (GeForce RTX 5070 Infinity 3 OC 12GB),"¥109,800",unknown,https://www.dospara.co.jp/SBR1892/IC594815.html
2657,gpu,Palit  NE75070U19K9-GB2050W (GeForce RTX 5070 White OC 12GB),"¥109,800",unknown,https://www.dospara.co.jp/SBR1892/IC548695.html
2703,gpu,玄人志向  GK-RTX5070-E12GB/WHITE/DF (GeForce RTX 5070 12GB),"¥112,000",unknown,https://www.dospara.co.jp/SBR1892/IC522551.html
2705,gpu,GIGABYTE  GV-R9070GAMING OC-16GD (Radeon RX 9070 16GB),"¥112,800",unknown,https://www.dospara.co.jp/SBR1891/IC522630.html
2702,gpu,GIGABYTE  GV-N5070EAGLE OC-12GD (GeForce RTX 5070 12GB),"¥119,801",unknown,https://www.dospara.co.jp/SBR1892/IC522572.html
2686,gpu,MSI  GeForce RTX 5070 12G GAMING TRIO OC (GeForce RTX 5070 12GB),"¥129,000",unknown,https://www.dospara.co.jp/SBR1892/IC522501.html
2664,gpu,MSI  GeForce RTX 5070 12G GAMING TRIO OC WHITE (GeForce RTX 5070 12GB),"¥129,800",unknown,https://www.dospara.co.jp/SBR1892/IC523423.html
2674,gpu,ASRock  Radeon RX 9070 XT Taichi 16GB OC (RX9070XT TC 16GO),"¥133,800",unknown,https://www.dospara.co.jp/SBR1891/IC518906.html
2701,gpu,MSI  GeForce RTX 5070 12G World of Warcraft MIDNIGHT LIGHT EDITION OC (GeForce RTX 5070 12GB),"¥134,800",unknown,https://www.dospara.co.jp/SBR1892/IC607223.html
2700,gpu,MSI  GeForce RTX 5070 12G World of Warcraft MIDNIGHT VOID EDITION OC (GeForce RTX 5070 12GB),"¥134,800",unknown,https://www.dospara.co.jp/SBR1892/IC607224.html
2682,gpu,ASUS  TUF-RTX5070-O12G-GAMING (GeForce RTX 5070 12GB),"¥136,980",unknown,https://www.dospara.co.jp/SBR1892/IC522503.html
2699,gpu,ASUS  TUF-RX9070XT-O16G-GAMING (Radeon RX 9070 XT 16GB),"¥139,300",unknown,https://www.dospara.co.jp/SBR1891/IC518976.html
