ID,パーツタイプ,名称,価格,在庫状態,URL
2848,memory,CFD  D3N1600PS-L4G (SODIMM DDR3L PC3L-12800 4GB 1.35V),"¥2,340",unknown,https://www.dospara.co.jp/SBR471/IC430213.html
2847,memory,CFD  D3N1600PS-L8G (SODIMM DDR3L PC3L-12800 8GB 1.35V),"¥3,880",unknown,https://www.dospara.co.jp/SBR471/IC430214.html
2830,memory,AGI  AGI320008SD138-ST (SODIMM DDR4 PC4-25600 8GB),"¥7,800",unknown,https://www.dospara.co.jp/SBR1187/IC585144.html
2814,memory,CFD  D4N2666CS-8G (SODIMM DDR4 PC4-21300 8GB),"¥8,970",unknown,https://www.dospara.co.jp/SBR1187/IC482012.html
2566,memory,CFD  D4N3200CS-8G (SODIMM DDR4 PC4-25600 8GB),"¥8,970",unknown,https://www.dospara.co.jp/SBR1187/IC482014.html
2778,memory,CFD  D4U3200CS-8G (DDR4 PC4-25600 8GB),"¥11,660",unknown,https://www.dospara.co.jp/SBR1017/IC582612.html
2850,memory,Crucial  CT8G4SFRA32A (SODIMM DDR4 PC4-25600 8GB),"¥11,800",unknown,https://www.dospara.co.jp/SBR1187/IC556471.html
2813,memory,AGI  AGI320016SD138-ST (DDR4 PC4-25600 SO 16GB),"¥14,980",unknown,https://www.dospara.co.jp/SBR1187/IC609348.html
2840,memory,ドスパラセレクト  D4N3200-16G1A2 (SODIMM DDR4 PC4-25600 16GB),"¥16,800",unknown,https://www.dospara.co.jp/SBR1187/IC594753.html
2837,memory,CFD  D4N3200CS-16G (SODIMM DDR4 PC4-25600 16GB),"¥17,970",unknown,https://www.dospara.co.jp/SBR1187/IC482015.html
2779,memory,ドスパラセレクト  D4D3200-8G2A2 (DDR4 PC4-25600 8GB 2枚組),"¥19,480",unknown,https://www.dospara.co.jp/SBR1017/IC594750.html
2780,memory,CFD  W4U3200CS-8G (DDR4 PC4-25600 8GB 2枚組),"¥19,790",unknown,https://www.dospara.co.jp/SBR1017/IC482007.html
2783,memory,G.SKILL  F4-3200C16D-16GIS (DDR4 PC4-25600 8GB 2枚組),"¥19,800",unknown,https://www.dospara.co.jp/SBR1017/IC468166.html
2781,memory,ドスパラセレクト  D4D3200-8G2A1-RGB-BK (DDR4 PC4-25600 8GB 2枚組),"¥19,800",unknown,https://www.dospara.co.jp/SBR1017/IC594759.html
2782,memory,ドスパラセレクト  D4D3200-8G2A1-RGB-WH (DDR4 PC4-25600 8GB 2枚組),"¥19,800",unknown,https://www.dospara.co.jp/SBR1017/IC594757.html
2784,memory,ADATA  AX4U32008G16A-DT50 (DDR4 PC4-25600 8GB 2枚組),"¥20,280",unknown,https://www.dospara.co.jp/SBR1017/IC474717.html
2785,memory,CFD  W4U2666CS-8G (DDR4 PC4-21300 8GB 2枚組),"¥20,280",unknown,https://www.dospara.co.jp/SBR1017/IC481986.html
2849,memory,CFD  D4N2666CS-16G (SODIMM DDR4 PC4-21300 16GB),"¥21,230",unknown,https://www.dospara.co.jp/SBR1187/IC482013.html
2786,memory,CFD  D4U3200CS-16G (DDR4 PC4-25600 16GB),"¥23,290",unknown,https://www.dospara.co.jp/SBR1017/IC599926.html
2787,memory,Crucial  CT2K8G4DFRA32A (DDR4 PC4-25600 8GB 2枚組),"¥23,480",unknown,https://www.dospara.co.jp/SBR1017/IC479257.html
2567,memory,Crucial  CT16G56C46S5 (SODIMM DDR5 PC5-44800 16GB),"¥27,470",unknown,https://www.dospara.co.jp/SBR1774/IC556461.html
