ID,パーツタイプ,名称,価格,在庫状態,URL
2870,storage,Verbatim  Vi560 49362-J (M.2 2280 SATA 256GB),"¥7,480",unknown,https://www.dospara.co.jp/SBR1495/IC599001.html
2862,storage,Verbatim  Vi3000 49373-J (M.2 2280 256GB),"¥7,970",unknown,https://www.dospara.co.jp/SBR1144/IC569481.html
2877,storage,ADATA  ALEG-710-256GCS (M.2 2280 256GB),"¥10,480",unknown,https://www.dospara.co.jp/SBR1144/IC526214.html
2575,storage,KIOXIA  SSD-CK480S/J (480GB),"¥11,790",unknown,https://www.dospara.co.jp/SBR1416/IC476776.html
2920,storage,TOSHIBA  DT02ABA200 バルク (2TB),"¥11,980",unknown,https://www.dospara.co.jp/SBR1964/IC467527.html
2574,storage,ADATA  ALEG-710-512GCS (M.2 2280 512GB),"¥13,480",unknown,https://www.dospara.co.jp/SBR1144/IC526215.html
2882,storage,AGI  AI298 AGI512GIMAI298-CB (M.2 2280 512GB),"¥13,580",unknown,https://www.dospara.co.jp/SBR1144/IC598282.html
2853,storage,ADATA  SLEG-860-500GCS-DP (M.2 2280 500GB) ドスパラ限定モデル,"¥13,800",unknown,https://www.dospara.co.jp/SBR1144/IC524292.html
2895,storage,MSI  SPATIUM M371 NVMe M.2 500GB (S78-440K160-P83),"¥14,080",unknown,https://www.dospara.co.jp/SBR1144/IC615028.html
2869,storage,Verbatim  Vi5000 31825-J (M.2 2280 512GB),"¥14,480",unknown,https://www.dospara.co.jp/SBR1144/IC569483.html
2922,storage,Western Digital  WD Blue WD20EARZ (2TB),"¥16,980",unknown,https://www.dospara.co.jp/SBR1964/IC491296.html
2573,storage,Verbatim  Vi3000 49374-J (M.2 2280 512GB),"¥17,800",unknown,https://www.dospara.co.jp/SBR1144/IC569482.html
2923,storage,Seagate  BarraCuda ST4000DM004 (4TB),"¥19,760",unknown,https://www.dospara.co.jp/SBR1964/IC447707.html
2926,storage,Western Digital  WD Blue WD40EZZX (4TB),"¥20,500",unknown,https://www.dospara.co.jp/SBR1964/IC577040.html
2864,storage,ADATA  LEGEND 710 ALEG-710-1TCS(M.2 2280 1TB),"¥20,800",unknown,https://www.dospara.co.jp/SBR1144/IC528198.html
2866,storage,KIOXIA  SSD-CK960S/J (960GB),"¥20,870",unknown,https://www.dospara.co.jp/SBR1416/IC476777.html
2871,storage,Western Digital  WD Black SN7100 WDS500G4X0E (M.2 2280 500GB),"¥22,570",unknown,https://www.dospara.co.jp/SBR1144/IC520426.html
2908,storage,Western Digital  WD Blue SA510 WDS500G3B0B (M.2 2280 500GB),"¥22,600",unknown,https://www.dospara.co.jp/SBR1495/IC480717.html
2899,storage,AGI  AI818 AGI1T0G43AI818 (M.2 2280 1TB),"¥23,980",unknown,https://www.dospara.co.jp/SBR1144/IC613227.html
2851,storage,ADATA  SMAR-980B-1TCS-DP (M.2 2280 1TB) ドスパラ限定モデル,"¥24,800",unknown,https://www.dospara.co.jp/SBR1144/IC525792.html
2904,storage,Verbatim  Vi3000 49375-J (M.2 2280 1TB),"¥24,800",unknown,https://www.dospara.co.jp/SBR1144/IC599002.html
2917,storage,Verbatim  Vi5000 31826-J (M.2 2280 1TB),"¥25,800",unknown,https://www.dospara.co.jp/SBR1144/IC611450.html
2921,storage,Western Digital  WD Blue WD60EZAX (6TB),"¥26,480",unknown,https://www.dospara.co.jp/SBR1964/IC486414.html
2857,storage,ドスパラセレクト  PGX4-010TA1 (M.2 2280 1TB),"¥26,800",unknown,https://www.dospara.co.jp/SBR1144/IC594766.html
2878,storage,Crucial  T500 CT1000T500SSD5JP (M.2 2280 1TB ヒートシンク付),"¥28,800",unknown,https://www.dospara.co.jp/SBR1144/IC497399.html
2854,storage,Crucial  T500 CT1000T500SSD8JP (M.2 2280 1TB),"¥28,980",unknown,https://www.dospara.co.jp/SBR1144/IC497397.html
2863,storage,ADATA  SMAR-970PL-1TCS-DP (M.2 2280 1TB) ドスパラ限定モデル,"¥29,800",unknown,https://www.dospara.co.jp/SBR1144/IC586177.html
2924,storage,Western Digital  WD Blue WD80EAAZ (8TB),"¥30,780",unknown,https://www.dospara.co.jp/SBR1964/IC497872.html
