順位	CPU	価格	性能	コスパ値
1	Intel Core Ultra 5 245KF BOX	¥32,780	8657	0.264100
2	Intel Core Ultra 7 265KF BOX	¥45,980	11744	0.255400
3	Intel Core Ultra 5 225F BOX	¥24,850	6235	0.250900
4	Intel Core Ultra 5 245K BOX	¥34,980	8657	0.247500
5	Intel Core Ultra 7 265K BOX	¥47,780	11744	0.245800
6	Intel Core Ultra 5 225 BOX	¥28,370	6091	0.214700
7	Intel Core Ultra 7 265F BOX	¥52,380	9979	0.190500
8	Intel Core Ultra 5 235 BOX	¥43,980	8004	0.182000
9	Intel Core Ultra 7 265 BOX	¥56,860	9979	0.175500
10	Intel Core i5 12400F BOX	¥23,980	3918	0.163400
11	Intel Core i5 12400 BOX	¥25,980	3918	0.150800
12	Intel Core Ultra 9 285K BOX	¥96,999	13474	0.138900
