順位,ID,ベンダー,CPU,価格,性能目安,コスパ値,URL
1,630,amd,AMD  Ryzen 7 9700X BOX,38799,3904,0.100621,https://www.dospara.co.jp/SBR1882/IC509913.html
2,666,amd,AMD  Ryzen 9 9900X BOX,60980,5731,0.093982,https://www.dospara.co.jp/SBR1881/IC509912.html
3,689,amd,AMD  Ryzen 5 9600 BOX,33336,3090,0.092693,https://www.dospara.co.jp/SBR1883/IC522584.html
4,690,amd,AMD  Ryzen 5 9600X BOX,34300,3163,0.092216,https://www.dospara.co.jp/SBR1883/IC509914.html
5,693,amd,AMD  Ryzen 7 7700 BOX,39800,3622,0.091005,https://www.dospara.co.jp/SBR1882/IC583837.html
6,692,amd,AMD  Ryzen 7 8700G BOX,39440,3329,0.084407,https://www.dospara.co.jp/SBR1882/IC555727.html
7,621,amd,AMD  Ryzen 7 7800X3D BOX,48000,3609,0.075188,https://www.dospara.co.jp/SBR1882/IC488570.html
8,1172,amd,AMD  Ryzen 9 9950X BOX,92700,6928,0.074736,https://www.dospara.co.jp/SBR1881/IC509911.html
9,628,amd,AMD  Ryzen 7 9800X3D BOX,62180,4208,0.067674,https://www.dospara.co.jp/SBR1882/IC516296.html
10,669,amd,AMD  Ryzen 9 9950X3D BOX,111670,7390,0.066177,https://www.dospara.co.jp/SBR1881/IC522582.html
11,1147,amd,AMD  Ryzen 9 9900X3D BOX,89980,5922,0.065815,https://www.dospara.co.jp/SBR1881/IC522583.html
12,668,amd,AMD  Ryzen 7 9850X3D BOX,84467,4373,0.051772,https://www.dospara.co.jp/SBR1882/IC593415.html
