順位,ID,ベンダー,CPU,価格,性能目安,コスパ値,URL
1,682,intel,Intel  Core Ultra 5 245KF BOX,32780,8657,0.264094,https://www.dospara.co.jp/SBR1887/IC512739.html
2,635,intel,Intel  Core Ultra 5 225F BOX,24850,6235,0.250905,https://www.dospara.co.jp/SBR1887/IC518589.html
3,673,intel,Intel  Core Ultra 7 265KF BOX,46980,11744,0.249979,https://www.dospara.co.jp/SBR1886/IC512737.html
4,674,intel,Intel  Core Ultra 5 245K BOX,34980,8657,0.247484,https://www.dospara.co.jp/SBR1887/IC512738.html
5,633,intel,Intel  Core Ultra 7 265K BOX,47780,11744,0.245793,https://www.dospara.co.jp/SBR1886/IC512736.html
6,1146,intel,Intel  Core Ultra 7 270K Plus BOX [並行輸入品],59800,13257,0.221689,https://www.dospara.co.jp/SBR1886/IC618207.html
7,675,intel,Intel  Core Ultra 5 225 BOX,28370,6091,0.214699,https://www.dospara.co.jp/SBR1887/IC518588.html
8,681,intel,Intel  Core Ultra 7 265F BOX,52380,9979,0.190512,https://www.dospara.co.jp/SBR1886/IC518586.html
9,683,intel,Intel  Core Ultra 5 235 BOX,43980,8004,0.181992,https://www.dospara.co.jp/SBR1887/IC518587.html
10,670,intel,Intel  Core Ultra 9 285K BOX,96999,13474,0.138909,https://www.dospara.co.jp/SBR1885/IC512735.html
11,630,amd,AMD  Ryzen 7 9700X BOX,38799,3904,0.100621,https://www.dospara.co.jp/SBR1882/IC509913.html
12,666,amd,AMD  Ryzen 9 9900X BOX,60980,5731,0.093982,https://www.dospara.co.jp/SBR1881/IC509912.html
13,689,amd,AMD  Ryzen 5 9600 BOX,33336,3090,0.092693,https://www.dospara.co.jp/SBR1883/IC522584.html
14,690,amd,AMD  Ryzen 5 9600X BOX,34300,3163,0.092216,https://www.dospara.co.jp/SBR1883/IC509914.html
15,693,amd,AMD  Ryzen 7 7700 BOX,39800,3622,0.091005,https://www.dospara.co.jp/SBR1882/IC583837.html
16,692,amd,AMD  Ryzen 7 8700G BOX,39440,3329,0.084407,https://www.dospara.co.jp/SBR1882/IC555727.html
17,621,amd,AMD  Ryzen 7 7800X3D BOX,48000,3609,0.075188,https://www.dospara.co.jp/SBR1882/IC488570.html
18,1172,amd,AMD  Ryzen 9 9950X BOX,92700,6928,0.074736,https://www.dospara.co.jp/SBR1881/IC509911.html
19,628,amd,AMD  Ryzen 7 9800X3D BOX,62180,4208,0.067674,https://www.dospara.co.jp/SBR1882/IC516296.html
20,669,amd,AMD  Ryzen 9 9950X3D BOX,111670,7390,0.066177,https://www.dospara.co.jp/SBR1881/IC522582.html
21,1147,amd,AMD  Ryzen 9 9900X3D BOX,89980,5922,0.065815,https://www.dospara.co.jp/SBR1881/IC522583.html
22,668,amd,AMD  Ryzen 7 9850X3D BOX,84467,4373,0.051772,https://www.dospara.co.jp/SBR1882/IC593415.html
